system:index,B11,B12,B2,B3,B4,B5,B8,EVI,GNDVI,NDRE,NDVI,SAVI,date,.geo
20221026T140709_20221026T141900_T20HMH_263_0,4204,3348,3940,3896,3844,4062,4832,-1.4942528735632186,0.107241064,0.08657522,0.11387736,0.17080620065694693,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.90551070571012,-34.10628699162645]}"
20221026T140709_20221026T141900_T20HMH_275_0,218,157,92,109,110,138,288,1.718146718146718,0.4508816,0.35211268,0.44723618,0.6700125470514429,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.90838799368446,-33.54511633464356]}"
20221026T140709_20221026T141900_T20HMH_330_0,3813,2798,3372,3276,3276,3360,4004,-1.1172498465316145,0.1,0.08745247,0.1,0.14998969850971774,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.346308263501015,-33.69429802047301]}"
20221026T140709_20221026T141900_T20HMH_388_0,3831,2980,1072,1410,1924,2135,2684,0.30699628372919696,0.3111871,0.11392405,0.16493055,0.24736899207985244,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.32326701480854,-33.47635983313332]}"
20221026T140709_20221026T141900_T20HMH_393_0,3389,2770,840,1000,1340,1592,1986,0.43332438958948216,0.33020765,0.11011738,0.1942273,0.29129715917631144,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.74686502233544,-33.84765216111969]}"
20221026T140709_20221026T141900_T20HMH_469_0,3833,3099,984,1252,1758,2056,2448,0.30710343599786366,0.32324323,0.08703375,0.16405135,0.246047783192678,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.94109082259178,-33.8762644096535]}"
20221026T140709_20221026T141900_T20HMH_473_0,1295,781,472,670,952,1167,2288,0.7487110513337816,0.5469912,0.32445732,0.41234568,0.6184230828575837,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.95578096201863,-33.9693188338056]}"
20221026T140709_20221026T141900_T20HMH_497_0,4468,3591,1324,1592,2132,2374,2872,0.3225806451612903,0.28673837,0.09492947,0.1478817,0.2218003796583075,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.97912410091506,-33.435935354304114]}"
20221026T140709_20221026T141900_T20HMH_506_0,2605,2152,990,990,1334,1519,2132,0.7356194690265487,0.36579117,0.1678992,0.23023659,0.3453050627434011,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.93919183156388,-34.00764223057835]}"
20221026T140709_20221026T141900_T20HMH_524_0,3037,2322,962,1222,1694,1950,2328,0.30030314513073136,0.3115493,0.08835904,0.15763302,0.23642013673088874,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.00197764372807,-33.47751156754122]}"
20221026T140709_20221026T141900_T20HMH_619_0,2871,1864,720,902,1112,1495,2330,0.8451290591174021,0.44183168,0.21830066,0.35386404,0.530718954248366,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.41938156042083,-33.94290839486195]}"
20221026T140709_20221026T141900_T20HMH_636_0,2463,1977,688,849,1160,1332,1718,0.3964194373401535,0.33852747,0.12655738,0.19388464,0.2907764460656592,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.90667920074998,-34.029447571762354]}"
20221026T140709_20221026T141900_T20HMH_673_0,3857,3350,2514,2756,2784,3170,3620,1.4217687074829932,0.13550815,0.066273935,0.13054341,0.1957998282457647,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.93124098775755,-34.06373538620912]}"
20221026T140709_20221026T141900_T20HMH_676_0,3567,2824,898,1074,1526,1755,2186,0.35807291666666663,0.3411043,0.10936311,0.17780173,0.26666666666666666,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.28331308024384,-34.02735284957812]}"
20221026T140709_20221026T141900_T20HMH_700_0,2685,1796,686,886,1070,1341,2090,0.7575757575757576,0.4045699,0.2183037,0.3227848,0.48410061699098245,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.193341314923515,-33.46896387170077]}"
20221026T140709_20221026T141900_T20HMH_701_0,2166,1758,587,762,1118,1342,1592,0.30396306271642937,0.35259134,0.08520791,0.17490774,0.2623132263420033,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.874321190630916,-33.51915465197598]}"
20221026T140709_20221026T141900_T20HMH_717_0,2482,2083,720,808,1104,1254,1664,0.4845967462789893,0.3462783,0.14050719,0.20231214,0.3034134007585335,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.01719412813472,-33.90226438706018]}"
20221026T140709_20221026T141900_T20HMH_731_0,2313,1559,350,492,516,1053,2116,1.545595054095827,0.6226994,0.33543706,0.60790277,0.9116809116809117,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.98858200333099,-33.869038425304616]}"
20221026T140709_20221026T141900_T20HMH_735_0,2040,1386,591,756,979,1253,1864,0.6691365492212309,0.42290077,0.19602181,0.3112909,0.4668542289432038,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.407258099699625,-33.9648650255308]}"
20221026T140709_20221026T141900_T20HMH_739_0,4405,3346,1274,1582,2176,2477,2922,0.2903175591531756,0.29751334,0.08242267,0.14633189,0.2194763165636952,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.56408924389162,-33.700260070859905]}"
20221026T140709_20221026T141900_T20HMH_761_0,3187,2693,646,982,1826,2104,3054,0.33493344970543315,0.5133796,0.18417992,0.25163934,0.3774203462759963,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.90096037332518,-34.103397403600304]}"
20221026T140709_20221026T141900_T20HMH_806_0,3278,2667,927,1056,1346,1552,1956,0.49504950495049505,0.2988048,0.11516534,0.18473652,0.27706283118849356,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.04378733314982,-33.62507793750517]}"
20221026T140709_20221026T141900_T20HMH_817_0,3465,2892,938,1084,1416,1607,1984,0.412071967498549,0.29335073,0.104984686,0.16705883,0.2505513895015439,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.07408514005714,-33.573230461750825]}"
20221026T140709_20221026T141900_T20HMH_820_0,2311,1587,662,858,1136,1464,2206,0.6591917200591424,0.43994778,0.20217983,0.32016757,0.4801795063575168,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.36099278916493,-34.030666687679606]}"
20221026T140709_20221026T141900_T20HMH_842_0,3312,2354,648,942,1078,1573,2814,0.981234456251413,0.49840257,0.28288123,0.44604316,0.6689788053949903,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.40749670477207,-33.489911504619926]}"
20221026T140709_20221026T141900_T20HMH_872_0,4169,3331,1108,1418,1960,2195,2624,0.27325102880658436,0.29836714,0.08902262,0.14485165,0.2172537899443778,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.174417066436256,-33.477470436779896]}"
20221026T140709_20221026T141900_T20HMH_900_0,3968,3128,1112,1394,1872,2138,2546,0.30979959551388125,0.2923858,0.087105036,0.15255772,0.22881068235826638,1.66679412735E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.98221634379802,-33.49074752653216]}"
20221026T140709_20221026T141900_T20HNH_27_0,1235,662,308,523,405,865,3124,2.0947611710323573,0.71318895,0.56630737,0.77047324,1.1555461113472163,1.666794123545E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.89708906100724,-33.807391291030314]}"
20221026T140709_20221026T141900_T20HNH_142_0,2922,2241,1736,1770,1528,1890,2988,-4.2294322132097335,0.2559899,0.22509225,0.32329494,0.48488874128196613,1.666794123545E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.94529607374055,-34.114518220515684]}"
20221026T140709_20221026T141900_T20HNH_241_0,4473,3718,6740,5900,5640,5928,6460,-0.20001951409893648,0.045307443,0.042944785,0.067768596,0.10164869220280154,1.666794123545E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.91100722490863,-34.137766488342365]}"
20221026T140709_20221026T141900_T20HNH_257_0,4957,4403,4792,4552,4520,4726,5240,-0.5029337803855826,0.07026144,0.051575355,0.07377049,0.11065006915629322,1.666794123545E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.89475913424083,-33.768967426435154]}"
20221026T140709_20221026T141900_T20HNH_263_0,4224,3408,3856,3832,3804,4064,4796,-1.9091608929946113,0.11172926,0.08261851,0.11534884,0.17301319690715655,1.666794123545E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.90551070571012,-34.10628699162645]}"
