system:index,B11,B12,B2,B3,B4,B5,B8,EVI,GNDVI,NDRE,NDVI,SAVI,date,.geo
20230610T135709_20230610T135715_T21LWK_604_0,1617,681,228,397,217,714,3054,2.6794484321873817,0.7699218,0.6210191,0.86731887,1.300779458963778,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.40379735754163,-10.036207812780692]}"
20230610T135709_20230610T135715_T21LWK_605_0,3289,2190,464,608,856,1108,1642,0.5956350409214914,0.45955557,0.19418181,0.31465173,0.47188312987792674,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.055779399015755,-10.037117974502856]}"
20230610T135709_20230610T135715_T21LWK_607_0,1462,587,169,335,146,579,2932,2.7405075742671654,0.7949189,0.6701794,0.9051332,1.3574792918629202,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.407266988293465,-10.035038298261469]}"
20230610T135709_20230610T135715_T21LWK_609_0,1348,564,184,350,164,584,3024,2.719665271966527,0.79253113,0.67627496,0.89711416,1.345460247765407,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.50636028543111,-10.038185150093787]}"
20230610T135709_20230610T135715_T21LWK_610_0,1507,614,221,391,173,619,3208,2.9301023363583707,0.7827174,0.676509,0.8976634,1.346296022475233,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.38545158099803,-10.038616227684502]}"
20230610T135709_20230610T135715_T21LWK_611_0,1513,636,199,330,198,667,2894,2.6018143215595444,0.79528534,0.6253861,0.87192756,1.30767987065481,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.50271283400332,-10.036461296885951]}"
20230610T135709_20230610T135715_T21LWK_612_0,2761,1560,469,712,697,1250,2856,1.5327275308817265,0.60089684,0.39113492,0.6076555,0.9113550021105952,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.51457471175836,-10.037021523065087]}"
20230610T135709_20230610T135715_T21LWK_616_0,1628,698,230,393,231,779,3488,2.584920634920635,0.79747486,0.63487226,0.8757731,1.3134829950262132,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.392842846642715,-10.038629842296862]}"
20230610T135709_20230610T135715_T21LWK_618_0,1762,774,196,392,201,793,3136,2.553950574312565,0.7777778,0.59633493,0.8795325,1.3191011235955057,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.494314346563634,-10.038619212504674]}"
20230610T135709_20230610T135715_T21LWK_619_0,1558,647,222,438,214,775,3112,2.65190336749634,0.75323945,0.6012349,0.8713169,1.3067788967383136,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.31035731549233,-10.036569340039911]}"
20230610T135709_20230610T135715_T21LWK_621_0,2871,1959,383,485,712,927,1306,0.5486791058562719,0.45840314,0.16972682,0.29435083,0.44141689373297005,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.110341627084935,-10.037721000357347]}"
20230610T135709_20230610T135715_T21LWK_624_0,1964,947,290,476,350,873,2864,2.252688172043011,0.71497005,0.5327803,0.78220284,1.1731217918805412,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.47871001305733,-10.03877593522602]}"
20230610T135709_20230610T135715_T21LWK_629_0,3197,2028,488,736,852,1323,2428,1.015202267456841,0.53476614,0.29458812,0.4804878,0.7206218564243255,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.00842652196457,-10.0364371852416]}"
20230610T135709_20230610T135715_T21LWK_632_0,1341,547,177,331,150,524,2720,2.801395247438413,0.783022,0.67694205,0.8954704,1.3429716077338443,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.48637743821012,-10.037340825572649]}"
20230610T135709_20230610T135715_T21LWK_636_0,1562,631,176,288,129,546,3008,2.922249289484369,0.8252427,0.69274056,0.91775584,1.3764143426294821,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.6958042481682,-10.03560924784655]}"
20230610T135709_20230610T135715_T21LWK_637_0,2561,1550,465,669,770,1170,2352,1.1347009037440827,0.5571003,0.33560476,0.50672644,0.7599679743795036,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.51749597113471,-10.036211802921034]}"
20230610T135709_20230610T135715_T21LWK_638_0,3283,1920,502,788,774,1298,2836,1.3872443487621098,0.5651214,0.37203676,0.57119113,0.8566680515164105,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.235810296454204,-10.035501586589124]}"
20230610T135709_20230610T135715_T21LWK_639_0,2726,1472,406,658,615,1160,2746,1.5706073113207548,0.613396,0.40604198,0.6340375,0.9509147701918786,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.59305227051889,-10.036584432585167]}"
20230610T135709_20230610T135715_T21LWK_641_0,2456,1316,402,642,574,1121,2768,1.715134459036898,0.6234604,0.42350218,0.6564931,0.9845923709798056,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.54733401528832,-10.037158292210691]}"
20230610T135709_20230610T135715_T21LWK_643_0,3574,2131,554,826,1060,1512,2526,0.7745139475908707,0.5071599,0.2511144,0.40881205,0.6131325805102468,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.12029286268572,-10.035667530497033]}"
20230610T135709_20230610T135715_T21LWK_646_0,1510,614,178,298,171,592,2746,2.640484003281378,0.804205,0.6452966,0.88275623,1.3239074550128536,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.44002005976838,-10.038351094948775]}"
20230610T135709_20230610T135715_T21LWK_647_0,1660,693,218,422,171,660,3540,2.8726125511596177,0.7869763,0.6857143,0.90784156,1.3615788764650412,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.38545345763804,-10.037621384369949]}"
20230610T135709_20230610T135715_T21LWK_651_0,1513,618,221,417,199,684,2986,2.761046166039231,0.75492215,0.6272479,0.8750392,1.312352848846335,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.49550090064463,-10.038440135251932]}"
20230610T135709_20230610T135715_T21LWK_652_0,1556,673,203,332,175,718,2994,2.7938553022794848,0.8003608,0.61314654,0.88955504,1.3341221012778042,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.442758981170336,-10.037541734948668]}"
20230610T135709_20230610T135715_T21LWK_653_0,2384,1267,388,645,548,1122,2754,1.7602936482604534,0.6204766,0.42105263,0.66808,1.0019682059046178,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.54222465994942,-10.036608622879351]}"
20230610T135709_20230610T135715_T21LWK_655_0,1626,681,193,308,160,611,2962,2.8297313674005253,0.8116208,0.65799046,0.8975016,1.346036829463571,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.41675354462547,-10.036954376019512]}"
20230610T135709_20230610T135715_T21LWK_660_0,169,95,141,154,150,180,146,0.9523809523809523,-0.026666667,-0.10429448,-0.013513514,-0.02023608768971332,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.01581514319126,-10.037092222387914]}"
20230610T135709_20230610T135715_T21LWK_665_0,1254,521,180,316,169,575,2324,2.7086475615887378,0.76060605,0.6033115,0.86442035,1.2963705634650091,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.51749315848784,-10.038111091528592]}"
20230610T135709_20230610T135715_T21LWK_666_0,1510,619,200,348,139,589,2990,3.0655913978494627,0.7914919,0.6708578,0.91115373,1.3665122223997443,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.40316059699309,-10.03512137674001]}"
20230610T135709_20230610T135715_T21LWK_667_0,2370,1334,377,550,546,1018,2402,1.6272137471506225,0.62737125,0.40467837,0.62957937,0.9442089197897235,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.51366030505432,-10.038286377967067]}"
20230610T135709_20230610T135715_T21LWK_668_0,1746,728,226,357,177,706,3728,2.867409560723514,0.8252142,0.68155164,0.909347,1.3638458584048136,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.55189886233619,-10.035536518008485]}"
20230610T135709_20230610T135715_T21LWK_674_0,1386,616,192,336,172,681,2328,2.805830296720458,0.7477477,0.5473579,0.8624,1.2933413317336533,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.54788604538396,-10.03390310116681]}"
20230610T135709_20230610T135715_T21LWK_678_0,2022,980,309,552,368,902,3054,2.2797487693091156,0.6938436,0.5439838,0.7849211,1.1772096420745068,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.47588193996899,-10.038319267874423]}"
20230610T135709_20230610T135715_T21LWK_679_0,2602,1519,426,652,718,1198,2254,1.1401425178147269,0.5512732,0.3059096,0.5168237,0.7751051303616484,1.686405921218E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.2812524298001,-10.035060527531893]}"
